Country,Year,Population (People),GDP-PPP (Million Intl$ (2011)),GDP-USD (Million US$ (2005)),Energy Use (Thous. tonnes oil eq. (ktoe)),Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2),Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO2),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
United Kingdom,1960,52400000,0,706295,158918,583.8218,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1961,52800000,0,724472,158753,588.4567,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1962,53250000,0,734093,164403,592.8755,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1963,53650000,0,763136,171510,603.3289,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1964,54000000,0,801585,173477,607.8539,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1965,54348050,0,823941,180947,622.1106,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1966,54648500,0,840826,180711,618.0582,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1967,54943600,0,860257,183817,592.0364,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1968,55211700,0,894536,188059,606.2235,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1969,55441750,0,912896,197213,626.8664,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1970,55663250,0,1008082,205116,649.5722,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1971,55896223,0,1043181,208676,632.2692,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1972,56086065,0,1087282,210208,615.0915,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1973,56194527,0,1158371,218071,646.6188,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1974,56229974,0,1129182,210010,608.1332,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1975,56225800,0,1111686,199366,587.9062,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1976,56211968,0,1145352,203317,593.1429,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1977,56193492,0,1175088,207657,603.1417,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1978,56196504,0,1223627,206547,600.0226,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1979,56246951,0,1268614,217056,632.5625,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1980,56314216,0,1241093,198432,578.4793,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1981,56333829,0,1230577,192448,569.1373,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1982,56313641,0,1256118,191367,549.1496,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1983,56332848,0,1308903,190308,548.0041,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1984,56422072,0,1338459,189955,531.3967,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1985,56550268,0,1385909,200785,555.8457,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1986,56681396,0,1429711,203954,569.7894,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1987,56802050,0,1509005,205551,573.9947,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1988,56928327,0,1598551,207405,574.0437,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1989,57076711,0,1638801,206973,563.1683,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
United Kingdom,1990,57247586,1512703,1647603,205920,556.5743,739.5568516,745.9895016,556.5743,118.8861,58.4362,5.6603,562.996736,118.8944549,58.43807003,586.8663,37.8463,57.1034,57.7409,6.4327,26.7,242.99,83.53,114.34,117.1858,28.8205
United Kingdom,1991,57424897,1494001,1627233,212938,570.6296,746.2200976,749.5857276,570.6296,114.581,55.3836,5.6259,573.985008,114.5893523,55.3855138,600.6762,34.6515,55.6348,55.2476,3.3656,25.37,242.84,84.43,113.69,127.9696,31.7466
